order_id,product_id,product_name,category,quantity,unit_price,discount_amount,cost_price
ORD-00049380,142,Colorful Puzzle,Toys,2,74.3,0.0,36.37
ORD-00049380,362,Rustic Rug,Home,3,102.17,0.0,48.2
ORD-00049380,389, Wireless Camera  ,Electronics,2,42.78,0.0,26.25
ORD-00049380,486,Cozy Table,Home,2,243.77,0.0,103.72
ORD-00064669,38,Durable Jacket,Clothing,2,246.4,0.0,118.16
ORD-00064669,96,Modern Memoir,Books,5,235.66,0.0,108.29
ORD-00064669,231,Portable Camera,Electronics,1,9.47,0.0,4.67
ORD-00064669,261,Colorful Blocks,Toys,4,30.14,0.0,15.02
ORD-00064669,347,Rustic Rug,Home,1,117.85,0.0,52.62
ORD-00064669,391,Cozy Chair,Home,6,30.05,13.56,12.81
ORD-00064669,518,Modern Chair,Home,5,47.68,0.0,32.93
ORD-00064669,526,Durable Shirt,Clothing,3,221.03,69.54,111.7
ORD-00064669,549,Portable Camera,Electronics,6,174.18,0.0,72.25
ORD-00064669,652,Interactive Car,Toys,5,15.74,0.0,10.54
ORD-00064669,830,  Smart Headphones ,Electronics,1,19.73,0.0,9.08
ORD-00064669,846,Educational Doll,Toys,4,61.57,0.0,25.11
ORD-00064669,1027,Classic Sweater,Clothing,4,116.7,0.0,52.5
ORD-00064669,1153,Cozy Rug,Home,2,242.17,0.0,137.52
ORD-00097214,59,Classic Jeans,Clothing,2,197.91,0.0,85.58
ORD-00097214,106,Educational Car,Toys,2,163.25,0.0,89.34
ORD-00097214,132,Classic Shirt,Clothing,2,174.95,0.0,85.11
ORD-00097214,279,Compact Camera,Electronics,3,45.34,13.46,22.52
ORD-00097214,507,Portable Camera,Electronics,3,192.88,123.84,134.99
ORD-00097214,842,Durable Jeans,Clothing,2,165.78,0.0,94.4
ORD-00097214,865,Interactive Doll,Toys,1,58.13,0.0,34.75
ORD-00097214,1181,Fun Puzzle,Toys,3,229.74,0.0,127.28
ORD-00107237,3,Fun Doll,Toys,3,180.42,0.0,110.13
ORD-00153652,383,Educational Car,Toys,2,232.57,0.0,113.91
ORD-00153652,402,EDUCATIONAL PUZZLE,Toys,1,238.49,0.0,128.42
ORD-00153652,438,Smart Headphones,Electronics,2,176.85,0.0,77.78
ORD-00153652,764,Smart Headphones,Electronics,1,105.88,19.73,60.16
ORD-00154620,344,Elegant Rug,Home,5,165.12,0.0,83.28
ORD-00154620,525,illustrated novel,Books,2,16.8,0.0,8.93
ORD-00154620,578,Cozy Table,Home,2,18.25,0.0,11.98
ORD-00154620,589,Cozy Rug,Home,3,45.4,0.0,30.51
ORD-00154620,634,Modern Chair,Home,3,219.98,0.0,115.87
ORD-00154620,638,Compact Monitor,Electronics,5,63.21,54.61,40.16
ORD-00154620,672,Rustic Lamp,Home,3,81.74,0.0,51.96
ORD-00154620,978,Illustrated Guide,Books,4,83.79,0.0,57.77
ORD-00154620,1133,Cozy Table,Home,3,219.81,0.0,142.01
ORD-00238985,317,Colorful Doll,Toys,5,31.76,0.0,19.76
ORD-00238985,452,Rustic Table,Home,2,22.35,4.02,11.51
ORD-00238985,505,Modern Chair,Home,2,228.61,0.0,125.9
ORD-00238985,601,Smart Headphones,Electronics,2,116.9,0.0,81.03
ORD-00238985,659,Illustrated Memoir,Books,2,169.96,0.0,95.25
ORD-00238985,695,Fun Blocks,Toys,3,237.08,0.0,110.24
ORD-00238985,859,Wireless Speaker,Electronics,1,178.03,0.0,105.08
ORD-00238985,1039,Portable Headphones,Electronics,2,125.16,0.0,72.71
ORD-00238985,1190,Compact Speaker,Electronics,2,56.26,6.4,33.45
ORD-00260514,65,Elegant Table,Home,6,225.38,0.0,103.0
ORD-00260514,268,Classic Guide,Books,2,240.33,104.96,98.0
ORD-00260514,361,Illustrated Guide,Books,2,234.6,0.0,161.55
ORD-00260514,468,Portable Speaker,Electronics,5,80.78,0.0,50.29
ORD-00260514,545,Elegant Table,Home,2,32.57,0.0,14.49
ORD-00260514,576,Cozy Chair,Home,2,68.84,0.0,33.61
ORD-00260514,603,  Classic Memoir ,Books,4,185.94,0.0,79.68
ORD-00260514,721,Modern Lamp,Home,1,68.97,0.0,36.01
ORD-00260514,847,Rustic Table,Home,6,179.44,153.04,91.91
ORD-00260514,908,Rustic Chair,Home,2,193.15,0.0,112.28
ORD-00260514,1030,Cozy Chair,Home,3,50.2,0.0,28.55
ORD-00260514,1106,educational blocks,Toys,1,69.96,0.0,34.22
ORD-00260514,1126,Modern Rug,Home,6,241.01,0.0,159.99
ORD-00260514,1265,Comfortable Sweater,Clothing,2,26.98,0.0,16.45
ORD-00304494,223,Rustic Chair,Home,1,153.23,0.0,84.34
ORD-00304494,231,Portable Camera,Electronics,2,9.47,0.0,4.67
ORD-00304494,440,Modern Table,Home,2,23.5,0.0,15.0
